Objects ID,Player ID,InitialWidth,InitialHeight,InitialDepth,Eye Level,Pedestal Height,Center Height (Pedestal Height+1/2Height),Distance to Surface (Distance-1/2depth),Scaled Height
A13,1,28.9,28.9,0.32,116,88,102.45,107.84,42
A13,2,28.9,28.9,0.32,124,99,113.45,69.84,49
A13,3,28.9,28.9,0.32,144,116,130.45,58.84,37
A13,4,28.9,28.9,0.32,144,116,130.45,58.84,37
A13,5,28.9,28.9,0.32,144,99,113.45,58.84,42
A13,6,28.9,28.9,0.32,140,108,122.45,53.84,37
A13,7,28.9,28.9,0.32,134,105,119.45,55.84,33
A13,8,28.9,28.9,0.32,149,130,144.45,80.84,33
A13,9,28.9,28.9,0.32,140,99,113.45,59.84,22
A13,10,28.9,28.9,0.32,146,115,129.45,61.84,16
A13,11,28.9,28.9,0.32,145,120,134.45,90.84,43
A13,12,28.9,28.9,0.32,134,105,119.45,55.84,39
A13,13,28.9,28.9,0.32,134,93,107.45,131.84,36
A13,14,28.9,28.9,0.32,150,108,122.45,79.84,38
A13,15,28.9,28.9,0.32,139,112,126.45,95.84,31
A13,16,28.9,28.9,0.32,138,115,129.45,132.84,34
A13,17,28.9,28.9,0.32,144,107,121.45,262.84,34
A13,18,28.9,28.9,0.32,151,134,148.45,120.84,13
A13,19,28.9,28.9,0.32,103,86,100.45,119.84,37
A13,20,28.9,28.9,0.32,103,89,103.45,68.84,38
A11,1,19.1,26.4,4,115,85,98.2,99,30
A11,2,19.1,26.4,4,124,96,109.2,58,57
A11,3,19.1,26.4,4,145,114,127.2,73,25
A11,4,19.1,26.4,4,145,11,24.2,73,25
A11,5,19.1,26.4,4,144,114,127.2,260,41
A11,6,19.1,26.4,4,139,114,127.2,46,39
A11,7,19.1,26.4,4,134,109,122.2,66,34
A11,8,19.1,26.4,4,148,130,143.2,53,34
A11,9,19.1,26.4,4,141,103,116.2,61,24
A11,10,19.1,26.4,4,147,122,135.2,66,28
A11,11,19.1,26.4,4,145,122,135.2,65,40
A11,12,19.1,26.4,4,134,109,122.2,66,54
A11,13,19.1,26.4,4,134,92,105.2,129,100
A11,14,19.1,26.4,4,150,60,73.2,119,33
A11,15,19.1,26.4,4,139,113,126.2,103,28
A11,16,19.1,26.4,4,137,114,127.2,116,40
A11,17,19.1,26.4,4,143,103,116.2,289,34
A11,18,19.1,26.4,4,151,128,141.2,102,19
A11,19,19.1,26.4,4,103,89,102.2,101,18
A11,20,19.1,26.4,4,103,91,104.2,71,32
A9,1,5.84,19.6,5.84,116,95,104.8,71.08,32
A9,2,5.84,19.6,5.84,129,98,107.8,58.08,100
A9,3,5.84,19.6,5.84,145,115,124.8,58.08,17
A9,4,5.84,19.6,5.84,145,115,124.8,58.08,17
A9,5,5.84,19.6,5.84,143,116,125.8,205.08,42
A9,6,5.84,19.6,5.84,140,118,127.8,51.08,37
A9,7,5.84,19.6,5.84,131,111,120.8,43.08,33
A9,8,5.84,19.6,5.84,147,127,136.8,65.08,36
A9,9,5.84,19.6,5.84,150,60,69.8,431.08,19
A9,10,5.84,19.6,5.84,147,131,140.8,92.08,16
A9,11,5.84,19.6,5.84,142,101,110.8,107.08,14
A9,12,5.84,19.6,5.84,131,111,120.8,43.08,40
A9,13,5.84,19.6,5.84,131,88,97.8,172.08,34
A9,14,5.84,19.6,5.84,141,112,121.8,68.08,20
A9,15,5.84,19.6,5.84,139,119,128.8,98.08,20
A9,16,5.84,19.6,5.84,126,64,73.8,71.08,20
A9,17,5.84,19.6,5.84,136,120,129.8,79.08,21
A9,18,5.84,19.6,5.84,151,130,139.8,58.08,19
A9,19,5.84,19.6,5.84,101,85,94.8,52.08,17
A9,20,5.84,19.6,5.84,108,102,111.8,104.08,10
A6,1,3.81,17.1,7.99,116,96,104.55,71.005,36
A6,2,3.81,17.1,7.99,126,105,113.55,48.005,50
A6,3,3.81,17.1,7.99,146,121,129.55,52.005,20
A6,4,3.81,17.1,7.99,146,122,130.55,52.005,20
A6,5,3.81,17.1,7.99,143,115,123.55,152.005,20
A6,6,3.81,17.1,7.99,141,121,129.55,61.005,20
A6,7,3.81,17.1,7.99,132,112,120.55,41.005,35
A6,8,3.81,17.1,7.99,147,130,138.55,56.005,34
A6,9,3.81,17.1,7.99,136,95,103.55,99.005,19
A6,10,3.81,17.1,7.99,147,123,131.55,95.005,13
A6,11,3.81,17.1,7.99,140,105,113.55,93.005,56
A6,12,3.81,17.1,7.99,132,112,120.55,41.005,35
A6,13,3.81,17.1,7.99,131,93,101.55,83.005,55
