Objects ID,Player ID,InitialWidth,InitialHeight,InitialDepth,Eye Height,Desk Height,Center Height,,G,realDIS,,Distance to Surface,Width,Height,Depth,Shape,Texture,Volume,VolimeAfter,Multiple,,,,
A13,11,34,42.9,34,144,102,123.45,20.55,56,3558.3025,59.65150878,39,19.02097902,24,19.02097902,2,6,49592.4,8683.14343,0.175090204,144.9,,,144.9
A13,12,34,42.9,34,132,111,132.45,-0.45,78,6084.2025,78.00129807,61,36.45687646,46,36.45687646,5,3,49592.4,61138.77669,1.232825527,153.9,,,153.9
A13,13,34,42.9,34,138,79,100.45,37.55,180,33810.0025,183.8749643,163,24.56876457,31,24.56876457,3,4,49592.4,18712.34997,0.377322936,121.9,,,121.9
A13,14,34,42.9,34,150,60,81.45,68.55,177,36028.1025,189.8107018,160,22.19114219,28,22.19114219,5,6,49592.4,13788.51017,0.278036759,102.9,,,102.9
A13,15,34,42.9,34,140,110,131.45,8.55,114,13069.1025,114.3201754,97,15.85081585,20,15.85081585,4,4,49592.4,5024.967263,0.10132535,152.9,,,152.9
A13,16,34,42.9,34,134,120,141.45,-7.45,123,15184.5025,123.2254134,106,25.36130536,32,25.36130536,2,3,49592.4,20582.26591,0.415028632,162.9,,,162.9
A13,17,34,42.9,34,135,102,123.45,11.55,167,28022.4025,167.3989322,150,38.04195804,48,38.04195804,1,1,49592.4,69465.14744,1.400721632,144.9,,,144.9
A13,18,34,42.9,34,145,60,81.45,63.55,86,11434.6025,106.9327008,69,40.41958042,51,40.41958042,2,4,49592.4,83320.86655,1.680113617,102.9,3.176470588,3.882352941,102.9
A13,19,34,42.9,34,105,83,104.45,0.55,117,13689.3025,117.0012927,100,18.22843823,23,18.22843823,,,49592.4,7642.347086,0.154103191,125.9,,,125.9
A13,20,34,42.9,34,107,60,81.45,25.55,107,12101.8025,110.0081929,90,55.47785548,70,55.47785548,,,49592.4,215445.4714,,102.9,,,102.9
A11,1,11.4,25.4,11.4,116,86,98.7,17.3,86,7695.29,87.72280205,80.3,17.95275591,40,17.95275591,2,3,3300.984,12892.05778,3.905519622,111.4,,,111.4
A11,2,11.4,25.4,11.4,125,94,106.7,18.3,67,4823.89,69.45422953,61.3,25.58267717,57,25.58267717,1,4,3300.984,37304.98214,11.30117024,119.4,,,119.4
A11,3,11.4,25.4,11.4,145,110,122.7,22.3,85,7722.29,87.87656115,79.3,10.77165354,24,10.77165354,3,4,3300.984,2784.684481,0.843592238,135.4,,,135.4
A11,4,11.4,25.4,11.4,145,109,121.7,23.3,95,9567.89,97.8155918,89.3,13.01574803,29,13.01574803,5,2,3300.984,4912.881208,1.488308095,134.4,,,134.4
A11,5,11.4,25.4,11.4,144,106,118.7,25.3,238,57284.09,239.3409493,232.3,13.01574803,29,13.01574803,3,2,3300.984,4912.881208,1.488308095,131.4,,,131.4
A11,6,11.4,25.4,11.4,140,113,125.7,14.3,58,3568.49,59.73683955,52.3,21.54330709,48,21.54330709,3,6,3300.984,22277.47585,6.748737907,138.4,,,138.4
A11,7,11.4,25.4,11.4,135,109,121.7,13.3,63,4145.89,64.38858595,57.3,21.54330709,48,21.54330709,5,4,3300.984,22277.47585,6.748737907,134.4,,,134.4
A11,8,11.4,25.4,11.4,149,129,141.7,7.3,64,4149.29,64.41498273,58.3,21.54330709,48,21.54330709,2,3,3300.984,22277.47585,6.748737907,154.4,,,154.4
A11,9,11.4,25.4,11.4,140,100,112.7,27.3,63,4714.29,68.66068744,57.3,13.91338583,31,13.91338583,,,3300.984,6001.05146,,125.4,,,125.4
A11,10,11.4,25.4,11.4,146,119,131.7,14.3,68,4828.49,69.48733698,62.3,13.46456693,30,13.46456693,2,3,3300.984,5438.836878,1.647641091,144.4,,,144.4
A11,11,11.4,25.4,11.4,143,107,119.7,23.3,87,8111.89,90.06603133,81.3,17.95275591,40,17.95275591,4,6,3300.984,12892.05778,3.905519622,132.4,,,132.4
A11,12,11.4,25.4,11.4,135,110,122.7,12.3,63,4120.29,64.18948512,57.3,19.2992126,43,19.2992126,2,2,3300.984,16015.7631,4.851814822,135.4,,,135.4
A11,13,11.4,25.4,11.4,135,96,108.7,26.3,169,29252.69,171.0341779,163.3,34.55905512,77,34.55905512,7,6,3300.984,91963.27838,27.85935296,121.4,,,121.4
A11,14,11.4,25.4,11.4,151,105,117.7,33.3,164,28004.89,167.3466163,158.3,13.91338583,31,13.91338583,5,5,3300.984,6001.05146,1.81795836,130.4,,,130.4
A11,15,11.4,25.4,11.4,139,114,126.7,12.3,113,12920.29,113.6674536,107.3,12.56692913,28,12.56692913,3,2,3300.984,4421.97582,1.33959323,139.4,,,139.4
A11,16,11.4,25.4,11.4,138,93,105.7,32.3,116,14499.29,120.4129976,110.3,17.05511811,38,17.05511811,2,3,3300.984,11053.32804,3.348494886,118.4,,,118.4
A11,17,11.4,25.4,11.4,142,104,116.7,25.3,272,74624.09,273.174102,266.3,13.01574803,29,13.01574803,1,1,3300.984,4912.881208,1.488308095,129.4,,,129.4
A11,18,11.4,25.4,11.4,149,112,124.7,24.3,149,22791.49,150.9685066,143.3,14.36220472,32,14.36220472,3,4,3300.984,6600.733585,1.999626046,137.4,3.055555556,3.529411765,137.4
A11,19,11.4,25.4,11.4,101,83,95.7,5.3,124,15404.09,124.1132144,118.3,13.91338583,31,13.91338583,,,3300.984,6001.05146,,108.4,,,108.4
A11,20,11.4,25.4,11.4,103,84,96.7,6.3,47,2248.69,47.42035428,41.3,21.54330709,48,21.54330709,,,3300.984,22277.47585,,109.4,,,109.4
A2,1,11,11,11,115,91,96.5,18.5,62,4186.25,64.70123646,56.5,38,38,38,2,2,1331,54872,41.22614576,102,,,102
A2,2,11,11,11,123,103,108.5,14.5,56,3346.25,57.84678038,50.5,38,38,38,1,4,1331,54872,41.22614576,114,,,114
A2,3,11,11,11,143,116,121.5,21.5,57,3711.25,60.92002955,51.5,15,15,15,4,4,1331,3375,2.535687453,127,,,127
A2,4,11,11,11,143,116,121.5,21.5,57,3711.25,60.92002955,51.5,15,15,15,2,3,1331,3375,2.535687453,127,,,127
A2,5,11,11,11,144,100,105.5,38.5,376,142858.25,377.9659376,370.5,20,20,20,4,5,1331,8000,6.010518407,111,,,111
A2,6,11,11,11,138,115,120.5,17.5,51,2907.25,53.91892061,45.5,20,20,20,4,5,1331,8000,6.010518407,126,,,126
A2,7,11,11,11,133,74,79.5,53.5,76,8638.25,92.94218633,70.5,33,33,33,6,2,1331,35937,27,85,,,85
A2,8,11,11,11,148,135,140.5,7.5,63,4025.25,63.44485795,57.5,33,33,33,2,4,1331,35937,27,146,,,146
A2,9,11,11,11,140,107,112.5,27.5,47,2965.25,54.45410912,41.5,16,16,16,,,1331,4096,,118,,,118
A2,10,11,11,11,145,122,127.5,17.5,56,3442.25,58.67069115,50.5,12,12,12,3,5,1331,1728,1.298271976,133,,,133
A2,11,11,11,11,145,117,122.5,22.5,90,8606.25,92.76987658,84.5,23,23,23,4,6,1331,12167,9.141247183,128,,,128
A2,12,11,11,11,133,74,79.5,53.5,79,9103.25,95.41095325,73.5,18,18,18,2,3,1331,5832,4.381667919,85,,,85
A2,13,11,11,11,134,111,116.5,17.5,76,6082.25,77.98878124,70.5,49,49,49,5,6,1331,117649,88.39143501,122,,,122
A2,14,11,11,11,151,116,121.5,29.5,69,5631.25,75.0416551,63.5,16,16,16,7,6,1331,4096,3.077385424,127,,,127
A2,15,11,11,11,139,114,119.5,19.5,110,12480.25,111.7150393,104.5,12,12,12,5,5,1331,1728,1.298271976,125,,,125
A2,16,11,11,11,138,114,119.5,18.5,125,15967.25,126.3615844,119.5,25,25,25,2,4,1331,15625,11.73929376,125,,,125
A2,17,11,11,11,142,104,109.5,32.5,272,75040.25,273.934755,266.5,14,14,14,1,2,1331,2744,2.061607814,115,,,115
A2,18,11,11,11,152,132,137.5,14.5,110,12310.25,110.951566,104.5,35,35,35,3,5,1331,42875,32.21262209,143,3.333333333,4.176470588,143
A2,19,11,11,11,102,92,97.5,4.5,92,8484.25,92.1099886,86.5,17,17,17,,,1331,4913,,103,,,103
A2,20,11,11,11,102,83,88.5,13.5,44,2118.25,46.02445002,38.5,31,31,31,,,1331,29791,,94,,,94
A13,1,28.9,28.9,0.32,116,88,102.45,13.55,108,11847.6025,108.8466926,107.84,42,42,0.465051903,2,4,267.2672,820.3515571,3.069406037,116.9,,,116.9
A13,2,28.9,28.9,0.32,124,99,113.45,10.55,70,5011.3025,70.79055375,69.84,49,49,0.542560554,2,2,267.2672,1302.687889,4.874103105,127.9,,,127.9
A13,3,28.9,28.9,0.32,144,116,130.45,13.55,59,3664.6025,60.53596039,58.84,37,37,0.409688581,4,5,267.2672,560.8636678,2.098512903,144.9,,,144.9
A13,4,28.9,28.9,0.32,144,116,130.45,13.55,59,3664.6025,60.53596039,58.84,37,37,0.409688581,3,2,267.2672,560.8636678,2.098512903,144.9,,,144.9
A13,5,28.9,28.9,0.32,144,99,113.45,30.55,59,4414.3025,66.44021749,58.84,42,42,0.465051903,2,3,267.2672,820.3515571,3.069406037,127.9,,,127.9
A13,6,28.9,28.9,0.32,140,108,122.45,17.55,54,3224.0025,56.78030028,53.84,37,37,0.409688581,1,3,267.2672,560.8636678,2.098512903,136.9,,,136.9
A13,7,28.9,28.9,0.32,134,105,119.45,14.55,56,3347.7025,57.85933373,55.84,33,33,0.365397924,6,6,267.2672,397.9183391,1.488840902,133.9,,,133.9
